index,GeoID,Percent_Change_Income,Percent_Change_Home,Percent_Change_Education,Percent_Change_Race,eligible,label
0,geoId/47037011800,65.35641393907325,91.05621805792164,68.96893667861409,-13.057820164419157,1,1
1,geoId/47037015623,1.088139281828074,20.37974683544304,11.109573283348844,-39.465801590777076,0,0
2,geoId/47037018700,20.89452076425075,26.87028140013727,3.9080371529771263,5.687230363371314,0,0
3,geoId/47037018803,23.469098821180012,20.637958532695375,14.960579836556873,-13.885588875801828,0,0
4,geoId/47037015617,-1.3560193441622082,29.547259729944404,16.719217590000664,6.164154015098434,0,0
5,geoId/47037015622,28.493019753229447,31.490514905149052,7.736264546186204,55.10206906575404,0,0
6,geoId/47037015803,68.025217545729,55.89473684210526,16.514908092195018,-5.893115073671451,1,0
7,geoId/47037017402,8.995545715716508,71.76923076923077,97.54736817675457,-47.40919038450893,1,1
8,geoId/47037011100,70.79120398879641,90.27946537059537,66.17292556415966,-71.12629689041398,0,0
9,geoId/47037016300,116.02624179943768,212.32458816351433,104.4391591061828,-21.003951149425298,0,0
10,geoId/47037018302,14.773307980272149,17.946542214679678,20.750710944612972,-17.06936951495413,0,0
11,geoId/47037013400,14.203391180805438,77.03703703703704,7.898635477582842,85.83966244725738,0,0
12,geoId/47037015613,24.441506939854595,26.08340147179068,25.946570762714487,-11.048658222869863,1,0
13,geoId/47037016000,162.07067137809187,55.752961082910325,212.57452574525746,-42.847672575299036,1,1
14,geoId/47037018203,80.31247379747897,29.781641730691465,39.78288633461048,14.85294117647058,0,0
15,geoId/47037018905,61.290080723764774,31.688914683691237,68.82881892310677,-15.75813571501899,0,0
16,geoId/47037015700,26.114305038890766,24.07894736842105,-22.77567846100996,-38.12456873807687,0,0
17,geoId/47037018602,30.355202790137636,20.20185837872477,9.339026844893258,-9.047980685714393,0,0
18,geoId/47037010401,29.42729867427779,61.10645431684828,-8.905784072603433,49.15797705383632,1,0
19,geoId/47037010402,66.6160611454298,14.738805970149254,148.8187178313564,56.36970592528754,1,0
20,geoId/47037010702,10.403512439891282,40.737564322469986,40.08197605436309,19.679303387490705,1,0
21,geoId/47037013601,29.510718062097475,74.85822306238185,94.11349945235487,-6.53815604885294,1,1
22,geoId/47037015405,19.0319305840213,28.94356005788712,9.055108323423076,42.52606312674261,0,0
23,geoId/47037012200,99.60142007710235,129.43437671609007,23.771428571428565,-81.8069498069498,0,0
24,geoId/47037015619,13.778641727763919,10.206561360874849,3.8105854405549784,-8.171057232685483,0,0
25,geoId/47037019500,67.41966980294693,69.88360814742968,36.19909502262444,-39.82525190321918,0,0
26,geoId/47037017902,66.16439954873763,26.86967113276492,14.242470492470499,313.0650277557494,0,0
27,geoId/47037018801,41.41121469163797,46.689761354888375,2.390002133593968,68.83636334691796,0,0
28,geoId/47037019106,8.641334502693706,16.265060240963855,18.62749505895443,43.05558359145044,0,0
29,geoId/47037010106,76.35168719279837,39.58611481975968,33.75619997667197,-13.33929990865741,0,0
30,geoId/47037015610,14.198311569228824,26.967285587975244,13.803853348009834,23.472965683223375,0,0
31,geoId/47037015614,20.52388476966087,29.84550561797753,-3.47744360902255,-19.253918923937587,0,0
32,geoId/47037015620,-10.884913516449155,31.874999999999996,14.63730416128299,-6.3107581299074305,0,0
33,geoId/47037017701,49.464953037846946,84.30605975984362,4.012710514823473,11.88193038772687,0,0
34,geoId/47037017000,57.150175773314245,89.69764837625979,17.401116456718942,-26.802762484858583,0,0
35,geoId/47037017800,26.11624326404927,55.97040026908846,5.449003399355258,22.10828507663721,0,0
36,geoId/47037018401,10.581614194090669,23.18760376314333,-0.46613634600041026,46.545300770273876,0,0
37,geoId/47037018405,7.716863138169219,30.07021891780256,9.117662012183988,-30.12734888275078,0,0
38,geoId/47037019115,11.937390837028081,17.18178796942506,17.830113956410585,-10.83174036724755,0,0
39,geoId/47037010105,17.101428286960772,31.505102040816325,-1.4001023568726572,-3.4741253361827367,0,0
40,geoId/47037011700,115.56779422348782,124.53555413196669,114.64888564027271,-11.483862922338384,0,0
41,geoId/47037013100,3.1365163887851684,32.59170174383644,22.52492877492875,24.756595886626833,0,0
42,geoId/47037014800,68.50562399571504,12.037037037037036,-21.224404162470623,-1.1198860841292886,1,0
43,geoId/47037018101,15.979926841802957,51.336573511543136,-4.792271658605744,0.3173183066992556,0,0
44,geoId/47037014400,137.03271028037383,NaN,144.0179778396553,-9.617626861416236,0,0
45,geoId/47037015609,35.75998327409576,35.66433566433567,37.49742364624321,55.416489895813584,0,0
46,geoId/47037017200,48.26758913128383,92.56572982774252,67.91843576954257,-55.634736671877526,1,1
47,geoId/47037018500,24.20528845085858,15.89115325715632,11.124506593323833,64.41124300723155,0,0
48,geoId/47037011001,63.83641822811752,17.191977077363894,-17.180002415697636,-4.002192145362215,1,0
49,geoId/47037015631,36.06805293005671,35.60350640593391,-17.565788302785645,17.70615710995517,0,0
50,geoId/47037016700,24.0508949094197,32.59657889679031,13.784809411930462,-33.3358760124732,0,0
51,geoId/47037015200,48.02771740299985,24.962518740629687,52.008344650214276,246.57365516957546,0,0
52,geoId/47037018408,7.360887847496572,25.202652910832718,-6.593037370276038,66.82220889954702,0,0
53,geoId/47037018409,22.255209396396562,28.751431844215347,7.197286905990184,30.922957070810615,0,0
54,geoId/47037019114,15.193222581219631,27.232142857142854,-5.772429090814883,11.899245111487039,0,0
55,geoId/47037019118,55.33213146581611,21.98774676650783,29.805834270098536,-5.282993848057571,0,0
56,geoId/47037019005,15.596572679575738,47.71784232365145,-32.340726570635304,-8.211713211476633,1,0
